HP2;Chaufferie multi HP;Nom Groupe;Nombre de logements;Date de construction;Adresse;Adresse (suite);Code Postal;Ville;Type combustible;Code site;Site;Type d'équipement;Equipement;Commentaire;Marque;Modèle;Puissance;Sous-station chauffage (numéro équipement);Présence Cogénération;Date de mise en service / Date de rénovation;Sonde extérieure avec régulation;Panneaux solaire photovoltaique;Thermique;Travaux réalisés;Date d'achèvement travaux;Adresse de l'opération;Travaux réalisés;Date d'achèvement travaux;Adresse de l'opération
194PS;;BOISSYPARIS3;74;01/03/2019;Paris (rue de ) n° 3A/3D/3C;;94470;BOISSY SAINT LEGER;Gaz;CHF0000783;3 TER RUE DE PARIS;ECHANGEUR DE CHALEUR EAU/EAU;ECHANGEUR A PLAQUES ECS;X 1;GUILLOT;ECHANGEUR A PLAQUES ECS RUBIS 612 SI;110 kW;;;PAS DE DONNEES;OUI;;;;;;;;
213BS;;BRILLAT SAVARIN-FONTAINE;250;01/12/1924;Brillât-Savarin (rue ) n° 16/18;;75013;PARIS;Gaz;CHF0000106;18 RUE BRILLAT SAVARIN (JARDIN D'ENFANTS);CHAUDIERE;CHAUDIERE;X 2;CHAPPEE;CHAUDIERE EDENA PROGRESS;34;;;01/01/2007;OUI;;;Chaudière individuelle basse température;28/11/2014;16/18 rue Brillat Savarin;;;
213HO;;HOPITAL 137;408;01/06/1926;Hôpital (boulevard de l' ) n° 137;;75013;PARIS;Gaz;CHF0000440;137 BD DE L'HôPITAL (JARDIN D'ENFANTS);CHAUDIERE;CHAUDIERE;X 1;FRISQUET;CHAUDIERE HYDROMOTRIX CSGN;32;;;01/01/2009;OUI;;;Chaudière individuelle haute performance énergétique;12/07/2017;137 BD DE L'HOPITAL;;;
213HO;;HOPITAL 137;408;01/06/1926;Hôpital (boulevard de l' ) n° 137;;75013;PARIS;Gaz;CHF0000440;137 BD DE L'HôPITAL (JARDIN D'ENFANTS);CHAUDIERE;CHAUDIERE;X 1;FRISQUET;CHAUDIERE HYDROMOTRIX CSVIGN;45;;;01/01/2009;OUI;;;Chaudière individuelle haute performance énergétique;12/07/2017;137 BD DE L'HOPITAL;;;
215P1;;QUATRE FRERES PEIGNOT 7;132;01/02/1927;Quatre Frères Peignot (rue des ) n° 13;;75015;PARIS;Gaz;CHF0000049;13 RUE DES 4 FRèRES PEIGNOT (JARDIN D'ENFANTS);CHAUDIERE;CHAUDIERE N°1;X 1;DE DIETRICH;CHAUDIERE N°1 AGCC 35;35 kW;;;07/01/2000;OUI;;;;;;;;
215P1;;QUATRE FRERES PEIGNOT 7;132;01/02/1927;Quatre Frères Peignot (rue des ) n° 13;;75015;PARIS;Gaz;CHF0000049;13 RUE DES 4 FRèRES PEIGNOT (JARDIN D'ENFANTS);CHAUDIERE;CHAUDIERE N°2;X 1;DE DIETRICH;CHAUDIERE N°2 AGCC 35;35 kW;;;07/01/2000;OUI;;;;;;;;
215VG;;VASCO DE GAMA;39;01/02/1922;65/67 rue Vasco de Gama;;75015;PARIS;CPCU;CHF0000430;65 RUE VASCO DE GAMA;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEUR DE CHALEUR VAPEUR/EAU N°1;X 1;CCOLLARD ET TROLARD;ECHANGEUR DE CHALEUR VAPEUR/EAU N°1 HT 90.22;150 kW;;;07/01/2000;OUI;;;;;;;;
215VG;;VASCO DE GAMA;39;01/02/1922;65/67 rue Vasco de Gama;;75015;PARIS;CPCU;CHF0000430;65 RUE VASCO DE GAMA;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEUR DE CHALEUR VAPEUR/EAU N°2;X 1;COLLARD ET TROLARD;ECHANGEUR DE CHALEUR VAPEUR/EAU N°2 HT 90.22;150 kW;;;01/01/2012;OUI;;;;;;;;
216MF;;MURAT 183-FANTIN LATOUR;218;21/10/1926;Murat (boulevard ) n° 183;;75016;PARIS;CPCU;CHF0000427;183 BD MURAT;ECHANGEUR DE CHALEUR EAU/EAU;ECHANGEUR DE CHALEUR EAU/EAU;X 1;SAKKARAH;ECHANGEUR DE CHALEUR EAU/EAU;1120 kW;;;04/01/1994;OUI;;;Fenêtre ou porte-fenêtre complète avec vitrage isolant;30/12/2014;183 bd Murat / 19 rue Fantin Latour;;;
218DU;;DUC-MT CENIS;32;05/01/2015;Duc (rue ) n° 2/6;;75018;PARIS;Gaz;CHF0000771;2 RUE DUC;CHAUDIERE;CHAUDIERE 1;X 1;VIESSMANN;CHAUDIERE 1 VITOLA BIFERRAL;70 kW;;;01/01/1989;OUI;;;;;;;;
218MA;;MARCADET 245/251;469;01/01/1924;Marcadet (rue ) n° 245/251;;75018;PARIS;Gaz;CHF0000163;245 RUE MARCADET;CHAUDIERE;CHAUDIERE;X 2;GUILLOT;CHAUDIERE CONDENSINOX;46;;;15/06/2010;OUI;;;REHABILITATION ET PLAN CLIMAT;14/01/2024;;;;
219BM;;BOLIVAR-MOREAU-CHAUFOURN;473;01/12/1929;97/99 S Bolivar 25 Henri Turot;20 Mathurin Moreau 30 Chaufourn.;75019;PARIS;IND GAZ;;20 RUE MATHURIN MOREAU;CHAUDIERE;CHAUDIERE N° 1;X 2;BUDERUS;CHAUDIERE N° 1 G234;38;;;01/01/2006;OUI;;;Rénovation   globale   d’un    bâtiment   résidentiel (France métropolitaine);16/12/2022;20 bis avenue Mathurin Moreau Paris;;;
219SG;;SOLIDARITE-GASTON PINOT;362;01/01/1925;Solidarité (rue de la ) n° 2/12;;75019;PARIS;Gaz;CHF0000338;8 RUE DE LA SOLIDARITé;CHAUDIERE;CHAUDIèRES;X 2;BUDERUS;CHAUDIèRES G124;35;;;01/01/2005;OUI;;;"Isolation de combles ou de toitures
Isolation des murs
Isolation d'un plancher
Fenêtre ou porte-fenêtre complète avec vitrage isolant
Robinets thermostatiques
Ventilation Mécanique Contrôlée simple flux hygroréglable
Raccordement d'un bâtiment résidentiel à un réseau de chaleur";15/07/2014;2/12 rue de la Solidarité;;;
219SG;;SOLIDARITE-GASTON PINOT;362;01/01/1925;Solidarité (rue de la ) n° 2/12;;75019;PARIS;CPCU;CHF0000685;6 RUE DE LA SOLIDARITé;ECHANGEUR DE CHALEUR EAU/EAU;ECHANGEUR PRIMAIRE;X 2;PLAQUES;ECHANGEUR PRIMAIRE;1500;;;01/01/2012;OUI;;;"Isolation de combles ou de toitures
Isolation des murs
Isolation d'un plancher
Fenêtre ou porte-fenêtre complète avec vitrage isolant
Robinets thermostatiques
Ventilation Mécanique Contrôlée simple flux hygroréglable
Raccordement d'un bâtiment résidentiel à un réseau de chaleur";15/07/2014;2/12 rue de la Solidarité;;;
220MO;;MORTIER 36/56;344;01/12/1930;36/56 Mortier 3 Victor Dejeante;1 Dulaure 4/8 Maurice Berteaux;75020;PARIS;IND GAZ;CHF0000443;3 RUE VICTOR DEJEANTE;CHAUDIERE;CHAUDIERE N° 2;X 1;GUILLOT;CHAUDIERE N° 2 ATHENA DGI-50;50;;;01/01/2000;OUI;;;REHABILITATION ET PLAN CLIMAT;15/03/2027;;;;
220MO;;MORTIER 36/56;344;01/12/1930;36/56 Mortier 3 Victor Dejeante;1 Dulaure 4/8 Maurice Berteaux;75020;PARIS;IND GAZ;CHF0000443;3 RUE VICTOR DEJEANTE;CHAUDIERE;CHAUDIERE N° 1;X 1;GUILLOT;CHAUDIERE N° 1 ATHENA 1CH50 AG;50;;;01/01/2002;OUI;;;REHABILITATION ET PLAN CLIMAT;15/03/2027;;;;
601PU;;PROUVAIRES 6;16;17/02/1933;Prouvaires (rue des ) n° 6;;75001;PARIS;Gaz;CHF0000609;6 RUE DES PROUVAIRES;CHAUDIERE;CHAUDIèRE GAZ;X 2;DE DIETRICH;CHAUDIèRE GAZ GT 120;32 KW;;;01/01/2004;OUI;;;;;;;;
603AR;;ARCHIVES 51;58;01/01/1935;51 rue des Archives;;75003;PARIS;Gaz;CHF0000560;51 RUE DES ARCHIVES;CHAUDIERE;CHAUDIèRE GAZ N°1;X 2;GUILLOT;CHAUDIèRE GAZ N°1 VARINO;200 KW;;;01/01/2002;OUI;;;;;;;;
603AR;;ARCHIVES 51;58;01/01/1935;51 rue des Archives;;75003;PARIS;Gaz;CHF0000560;51 RUE DES ARCHIVES;CHAUDIERE;CHAUDIèRE GAZ N°2;X 1;GUILLOT;CHAUDIèRE GAZ N°2 LRP2;145 KW;;;01/01/2002;OUI;;;;;;;;
604MU;;PETIT MUSC 18;15;08/11/1932;18 rue du Petit Musc;;75004;PARIS;CPCU;CHF0000597;18 RUE DU PETIT MUSC;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEUR DE CHALEUR VAPEUR/EAU;X 1;BAELZ;ECHANGEUR DE CHALEUR VAPEUR/EAU 106-7-45- KN;100 KW;;;01/01/2004;OUI;;;;;;;;
604PT;;PLATRE 12/14;25;17/02/1933;Plâtre (rue du ) n° 12/14;;75004;PARIS;Gaz;CHF0000608;12/14 RUE DU PLATRE;CHAUDIERE;CHAUDIèRE GAZ;X 1;VITOCROSSAL;CHAUDIèRE GAZ CM2;115 KW;;;01/01/2009;OUI;;;;;;;;
605CR;;CARMES;97;07/10/1935;1 r des Carmes 47t bd St Germain;2 r de la Montagne Ste Geneviève;75005;PARIS;Gaz;CHF0000549;47 TER BD SAINT GERMAIN;CHAUDIERE;CHAUDIERE;X 1;VIESSMANN;CHAUDIERE VITOROND 200;225;;;01/01/2002;OUI;;;;;;;;
605CR;;CARMES;97;07/10/1935;1 r des Carmes 47t bd St Germain;2 r de la Montagne Ste Geneviève;75005;PARIS;Gaz;CHF0000549;47 TER BD SAINT GERMAIN;CHAUDIERE;CHAUDIERE;X 2;VIESSMANN;CHAUDIERE VITOCROSSAL 300;225;;;01/01/2002;OUI;;;;;;;;
605PA;;PASCAL 16;23;29/06/1932;Pascal (rue ) n° 16;;75005;PARIS;Gaz;CHF0000574;16 RUE PASCAL;CHAUDIERE;CHAUDIERE;X 2;GUILLOT;CHAUDIERE CONDENSINOX;60;;;01/01/2013;OUI;;;;;;;;
605SM;;SAINT MEDARD 1;31;16/11/1934;Saint Médard (rue ) n° 1;;75005;PARIS;Gaz;CHF0000575;1 RUE SAINT MéDARD;CHAUDIERE;CHAUDIERE;X 2;VIESSMAN;CHAUDIERE VITOCROSSAL 300;60;;;01/01/2011;OUI;;;;;;;;
610CL;;CLAUDE VELLEFAUX 21;108;19/04/1935;21 avenue Claude Vellefaux;7 rue Sambre et Meuse;75010;PARIS;Gaz;CHF0000605;21 RUE CLAUDE VELLEFAUX;CHAUDIERE;CHAUDIERE;X 2;DE DIETRICH;CHAUDIERE C310-ECO;280;;;01/01/2008;OUI;;;;;;;;
610CL;;CLAUDE VELLEFAUX 21;108;19/04/1935;21 avenue Claude Vellefaux;7 rue Sambre et Meuse;75010;PARIS;Gaz;CHF0000605;21 RUE CLAUDE VELLEFAUX;CHAUDIERE;CHAUDIERE;X 1;DE DIETRICH;CHAUDIERE C230-210 ECO;200;;;01/01/2008;OUI;;;;;;;;
610LS;;LUCIEN SAMPAIX 43;17;07/04/1932;Lucien Sampaix (rue ) n° 43;;75010;PARIS;Gaz;CHF0000610;43 RUE LUCIEN SAMPAIX;CHAUDIERE;CHAUDIERE;X 2;ATLANTIC GUILLOT;CHAUDIERE CONDENSINOX 40;40;;;01/01/2012;OUI;;;;;;;;
611JT;;JEAN PIERRE TIMBAUD 106;35;10/10/1932;Jean-Pierre Timbaud (rue ) n° 106;;75011;PARIS;Gaz;CHF0000563;106 RUE JEAN-PIERRE TIMBAUD;CHAUDIERE;CHAUDIERE;X 2;DE DIETRICH;CHAUDIERE GT 305;115;;;01/01/2002;OUI;;;;;;;;
612LM;;LAMBLARDIE 19/23;50;19/01/1934;Lamblardie (rue ) n° 19/23;;75012;PARIS;Gaz;CHF0000606;19/23 RUE LAMBLARDIE;CHAUDIERE;CHAUDIERE 2;X 1;DE DIETRICH;CHAUDIERE 2 C 230-130 ECO;129;;;01/01/2009;OUI;;;;;;;;
612LM;;LAMBLARDIE 19/23;50;19/01/1934;Lamblardie (rue ) n° 19/23;;75012;PARIS;Gaz;CHF0000606;19/23 RUE LAMBLARDIE;CHAUDIERE;CHAUDIERE 1;X 1;DE DIETRICH;CHAUDIERE 1 C 230-130 ECO;129;;;01/01/2009;OUI;;;;;;;;
612PD;;PORTE DOREE;1184;04/07/1935;Soult (boulevard ) n° 92/98;;75012;PARIS;Gaz;CHF0000564;7 AV DU GéNéRAL DODDS;CHAUDIERE;CHAUDIERE 1;X 1;GUILLOT;CHAUDIERE 1 TOTALTUB D1861;2050;;;01/01/2003;OUI;;;Chaudière à condensation avec contrat d'exploitation;23/05/2014;7 avenue du Général Dodds;;;
612PD;;PORTE DOREE;1184;04/07/1935;Soult (boulevard ) n° 92/98;;75012;PARIS;Gaz;CHF0000564;7 AV DU GéNéRAL DODDS;CHAUDIERE;CHAUDIERE 2;X 1;GUILLOT;CHAUDIERE 2 TOTALTUB D1861;2050;;;01/01/2003;OUI;;;Chaudière à condensation avec contrat d'exploitation;23/05/2014;7 avenue du Général Dodds;;;
612PD;;PORTE DOREE;1184;04/07/1935;Soult (boulevard ) n° 92/98;;75012;PARIS;Gaz;CHF0000564;7 AV DU GéNéRAL DODDS;CHAUDIERE;ENSEMBLE PAVE;X 1;BOSH;ENSEMBLE PAVE UNIMAT-UT-L-24/3050;3050;;;01/01/2013;OUI;;;Chaudière à condensation avec contrat d'exploitation;23/05/2014;7 avenue du Général Dodds;;;
612PD;;PORTE DOREE;1190;04/07/1935;92/94/98 Poniatowski 2/4 Dubois;5/7/9 de Foucault 1/4/8 Dodds;75012;PARIS;Gaz;CHF0000573;5 AV ARMAND ROUSSEAU;CHAUDIERE;CHAUDIERE 1;X 1;DE DIETRICH;CHAUDIERE 1 GT 309/11;280;;;01/01/2003;OUI;;;Chaudière à condensation avec contrat d'exploitation;23/05/2014;7 avenue du Général Dodds;;;
612PD;;PORTE DOREE;1190;04/07/1935;92/94/98 Poniatowski 2/4 Dubois;5/7/9 de Foucault 1/4/8 Dodds;75012;PARIS;Gaz;CHF0000573;5 AV ARMAND ROUSSEAU;CHAUDIERE;CHAUDIERE 2;X 1;DE DIETRICH;CHAUDIERE 2 GT 309/11;280;;;01/01/2003;OUI;;;Chaudière à condensation avec contrat d'exploitation;23/05/2014;7 avenue du Général Dodds;;;
612PD;;PORTE DOREE;1190;04/07/1935;92/94/98 Poniatowski 2/4 Dubois;5/7/9 de Foucault 1/4/8 Dodds;75012;PARIS;Gaz;CHF0000573;5 AV ARMAND ROUSSEAU;CHAUDIERE;CHAUDIERE 3;X 1;DE DIETRICH;CHAUDIERE 3 GT 309C/11;325;;;01/01/2003;OUI;;;Chaudière à condensation avec contrat d'exploitation;23/05/2014;7 avenue du Général Dodds;;;
612PO;;PONIATOWSKI;146;19/05/1933;Poniatowski (boulevard ) n° 37;;75012;PARIS;CPCU;CHF0000614;27 BD PONIATOWSKI;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEUR CPCU 1;X 1;ALFA LAVAL;ECHANGEUR CPCU 1 CETECOIL S 850M;430;;;01/01/2011;OUI;;;;;;;;
612PO;;PONIATOWSKI;146;19/05/1933;Poniatowski (boulevard ) n° 37;;75012;PARIS;CPCU;CHF0000614;27 BD PONIATOWSKI;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEUR CPCU 2;X 1;ALFA LAVAL;ECHANGEUR CPCU 2 CETECOIL S 850M;430;;;01/01/2011;OUI;;;;;;;;
612WA;;WATTIGNIES;117;12/10/1934;Wattignies (rue de ) n° 48;;75012;PARIS;Gaz;CHF0000596;48 RUE DE WATTIGNIES;CHAUDIERE;CHAUDIERE 1;X 1;BUDERUS;CHAUDIERE 1 LOGANO GE 315;230;;;01/01/2003;OUI;;;;;;;;
612WA;;WATTIGNIES;117;12/10/1934;Wattignies (rue de ) n° 48;;75012;PARIS;Gaz;CHF0000596;48 RUE DE WATTIGNIES;CHAUDIERE;CHAUDIERE 2;X 1;BUDERUS;CHAUDIERE 2 LOGANO GE 315;230;;;01/01/2003;OUI;;;;;;;;
612WA;;WATTIGNIES;117;12/10/1934;Wattignies (rue de ) n° 48;;75012;PARIS;Gaz;CHF0000596;48 RUE DE WATTIGNIES;CHAUDIERE;CHAUDIERE 3;X 1;BUDERUS;CHAUDIERE 3 LOGANO GR 515;295;;;01/01/2003;OUI;;;;;;;;
613DU;;DUNOIS;160;09/11/1934;Dunois (rue ) n° 36/38;;75013;PARIS;Gaz;CHF0000552;13 RUE BAUDOIN;CHAUDIERE;CHAUDIERE;X 1;BUDERUS LOGANO;CHAUDIERE GE 515;240;;;01/01/2003;OUI;;;;;;;;
613DU;;DUNOIS;160;09/11/1934;Dunois (rue ) n° 36/38;;75013;PARIS;Gaz;CHF0000552;13 RUE BAUDOIN;CHAUDIERE;CHAUDIERE;X 2;BUDERUS LOGANO;CHAUDIERE GE 315;200;;;01/01/2003;OUI;;;;;;;;
613EI;;EDISON;119;06/07/1932;Edison (avenue ) n° 70/74;;75013;PARIS;Gaz;CHF0000550;72 AV EDISON;CHAUDIERE;CHAUDIERE;X 2;VIESSMAN;CHAUDIERE VITOROND;300;;;01/01/2002;OUI;;;;;;;;
613MS;;MASSENA-ITALIE;61;27/10/1933;Masséna (boulevard ) n° 158/164;;75013;PARIS;Gaz;CHF0000570;158 BD MASSéNA;CHAUDIERE;CHAUDIERE;X 2;GUILLOT;CHAUDIERE CONDENSINOX;60;;;01/01/2015;OUI;;;Chaudière à haute performance énergétique;20/11/2015;"158 boulevard Masséna
164 boulevard Massena";;;
613MS;;MASSENA-ITALIE;61;27/10/1933;Masséna (boulevard ) n° 158/164;;75013;PARIS;Gaz;CHF0000571;164 BD MASSéNA;CHAUDIERE;CHAUDIERE;X 2;GUILLOT;CHAUDIERE CONDENSINOX;80;;;01/01/2015;OUI;;;Chaudière à haute performance énergétique;20/11/2015;"158 boulevard Masséna
164 boulevard Massena";;;
613PV;;PORTE DE VITRY;907;04/07/1933;Porte de Vitry (avenue de la ) n° 15/29;;75013;PARIS;CPCU;CHF0000568;5 SQUARE DU LIMOUSIN;ECHANGEUR DE CHALEUR VAPEUR/EAU;CPCU;X 3;HELICOTHERM;CPCU HT250/88;1300;;;01/01/2008;OUI;;;;;;;;
613PY;;PORTE DE CHOISY;467;10/10/1932;Porte de Choisy (avenue de la ) n° 28/36;;75013;PARIS;Gaz;CHF0000557;5 RUE ALFRED FOUILLé;CHAUDIERE;CHAUDIERE;X 2;BUDERUS;CHAUDIERE LOGANO;295;;;01/01/2004;OUI;;;;;;;;
613PY;;PORTE DE CHOISY;467;10/10/1932;Porte de Choisy (avenue de la ) n° 28/36;;75013;PARIS;Gaz;CHF0000557;5 RUE ALFRED FOUILLé;CHAUDIERE;CHAUDIERE;X 1;BUDERUS;CHAUDIERE LOGANO;400;;;01/01/2004;OUI;;;;;;;;
613PY;;PORTE DE CHOISY;467;10/10/1932;Porte de Choisy (avenue de la ) n° 28/36;;75013;PARIS;Gaz;CHF0000567;109 BD MASSéNA;CHAUDIERE;CHAUDIERE;X 3;BUDERUS;CHAUDIERE LOGANO GE 515;300;;;01/01/2007;OUI;;;;;;;;
613TL;;TOLBIAC;1;07/09/1934;Tolbiac (rue de ) n° 134/134BIS;;75013;PARIS;Gaz;CHF0000551;134/134 RUE DE TOLBIAC;CHAUDIERE;CHAUDIERE;X 2;VIESSMANN;CHAUDIERE VITOROND 200;180;;;01/01/2002;OUI;;;Chaudière individuelle haute performance énergétique;05/07/2018;5056 rue de Tolbiac;;;
613TN;;TANNERIES;105;19/04/1935;1 rue des Tanneries;119/123  Léon Maurice Nordmann;75013;PARIS;Gaz;CHF0000565;123 RUE LéON NORDMAN;CHAUDIERE;CHAUDIERE;X 2;RENDAMAX;CHAUDIERE R604;285;;;01/01/2014;OUI;;;Chaudière à condensation avec contrat d'exploitation;10/10/2014;1 rue des Tanneries;;;
613TN;;TANNERIES;104;19/04/1935;Tanneries (rue des ) n° 1;;75013;PARIS;Gaz;CHF0000566;1 RUE DES TANNERIES;CHAUDIERE;CHAUDIERE;X 2;RENDAMAX;CHAUDIERE R601;145;;;01/01/2014;OUI;;;Chaudière à condensation avec contrat d'exploitation;10/10/2014;1 rue des Tanneries;;;
613TU;;TUFFIER;76;03/03/1933;Docteur Tuffier (rue du ) n° 1/7;;75013;PARIS;Gaz;CHF0000569;3 RUE DU DOCTEUR TUFFIER;CHAUDIERE;CHAUDIERE;X 2;GUILLOT;CHAUDIERE MODULO CONTROL;110;;;01/01/2009;OUI;;;;;;;;
613WU;;WURTZ;1;24/05/1935;Wurtz (rue ) n° 18;;75013;PARIS;Gaz;CHF0000572;18 RUE WURTZ;CHAUDIERE;A L'ARRêT;X 1;SECCACIER;A L'ARRêT THERMIREX 36;698;;;01/01/1985;OUI;;;;;;;;
613WU;;WURTZ;1;24/05/1935;Wurtz (rue ) n° 18;;75013;PARIS;Gaz;CHF0000572;18 RUE WURTZ;CHAUDIERE;CHAUDIERE;X 2;DE DIETRICH;CHAUDIERE GT 530-13;754;;;01/01/2011;OUI;;;;;;;;
614BR;;BRUNE 9;17;18/10/1932;9 boulevard Brune;;75014;PARIS;Gaz;CHF0000580;9 BD BRUNE;CHAUDIERE;CHAUDIèRE GAZ à CONDENSATION;X 2;DE DIETRICH;CHAUDIèRE GAZ à CONDENSATION MC 115;107 KW;;;01/01/2010;OUI;;;;;;;;
614VL;;VANVES LOSSERAND;83;27/10/1933;Raymond Losserand (rue ) n° 56/72;;75014;PARIS;Gaz;CHF0000576;56 RUE RAYMOND LOSSERAND;CHAUDIERE;CHAUDIèRE GAZ;X 1;ATLANTIC VARFREE;ATLANTIC VARFREE;35 KW;;;15/06/2018;OUI;;;Chaudière à haute performance énergétique;27/09/2018;56-58-66-72 rue Raymond Losserand;;;
614VL;;VANVES LOSSERAND;83;27/10/1933;Raymond Losserand (rue ) n° 56/72;;75014;PARIS;Gaz;CHF0000576;56 RUE RAYMOND LOSSERAND;CHAUDIERE;CHAUDIèRE GAZ;X 1;ATLANTIC VARFREE;ATLANTIC VARFREE;35 kW;;;15/06/2018;OUI;;;Chaudière à haute performance énergétique;27/09/2018;56-58-66-72 rue Raymond Losserand;;;
614VL;;VANVES LOSSERAND;83;27/10/1933;Raymond Losserand (rue ) n° 56/72;;75014;PARIS;Gaz;CHF0000577;58 RUE RAYMOND LOSSERAND;CHAUDIERE;CHAUDIèRE GAZ ATLANTIC VARFREE;X 1;CHAPPEE;CHAUDIèRE ATLANTIC VARFREE ;35 KW;;OUI;01/01/2006;OUI;;;Chaudière à haute performance énergétique;27/09/2018;56-58-66-72 rue Raymond Losserand;;;
614VL;;VANVES LOSSERAND;83;27/10/1933;Raymond Losserand (rue ) n° 56/72;;75014;PARIS;Gaz;CHF0000577;58 RUE RAYMOND LOSSERAND;CHAUDIERE;CHAUDIèRE GAZ ATLANTIC VARFREE;X 1;CHAPPEE;CHAUDIèRE ATLANTIC VARFREE ;35 KW;;;01/01/1987;OUI;;;Chaudière à haute performance énergétique;27/09/2018;56-58-66-72 rue Raymond Losserand;;;
614VL;;VANVES LOSSERAND;83;27/10/1933;Raymond Losserand (rue ) n° 56/72;;75014;PARIS;Gaz;CHF0000578;66 RUE RAYMOND LOSSERAND;CHAUDIERE;CHAUDIèRE GAZ;X 1;ATLANTIC CONDENSINOX;CHAUDIèRE ATLANTIC CONDENSINOX 70;70 KW;;;01/01/2006;OUI;;;Chaudière à haute performance énergétique;27/09/2018;56-58-66-72 rue Raymond Losserand;;;
614VL;;VANVES LOSSERAND;83;27/10/1933;Raymond Losserand (rue ) n° 56/72;;75014;PARIS;Gaz;CHF0000578;66 RUE RAYMOND LOSSERAND;CHAUDIERE;CHAUDIèRE GAZ;X 1;ATLANTIC CONDENSINOX 70;ATLANTIC CONDENSINOX 70;70 KW;;;01/01/2006;OUI;;;Chaudière à haute performance énergétique;27/09/2018;56-58-66-72 rue Raymond Losserand;;;
614VL;;VANVES LOSSERAND;83;27/10/1933;Raymond Losserand (rue ) n° 56/72;;75014;PARIS;Gaz;CHF0000579;72 RUE RAYMOND LOSSERAND;CHAUDIERE;CHAUDIèRE GAZ ATLANTIC VARFREE;X 1;ATLANTIC VARFREE;CHAUDIèRE ATLANTIC VARFREE  ;35 KW;;;01/01/2006;OUI;;;Chaudière à haute performance énergétique;27/09/2018;56-58-66-72 rue Raymond Losserand;;;
614VL;;VANVES LOSSERAND;83;27/10/1933;Raymond Losserand (rue ) n° 56/72;;75014;PARIS;Gaz;CHF0000579;72 RUE RAYMOND LOSSERAND;CHAUDIERE;CHAUDIèRE GAZ ATLANTIC VARFREE;X 1;CHAPPEE;CHAUDIèRE ATLANTIC VARFREE ;35 KW;;;01/01/2006;OUI;;;Chaudière à haute performance énergétique;27/09/2018;56-58-66-72 rue Raymond Losserand;;;
615BA;;PAUL BARRUEL;141;18/10/1932;Paul Barruel (rue ) n° 26/32;;75015;PARIS;Gaz;CHF0000544;42 RUE PAUL BARRUEL;CHAUDIERE;CHAUDIERE GAZ A CONDENSATION N°1;X 1;HOVAL;CHAUDIERE GAZ A CONDENSATION N°1 ULTRA-GAS 150;150 KW;;;15/06/2013;OUI;;;Chaudière      collective      haute      performance énergétique avec contrat  assurant  la  conduite de l’installation;12/10/2022;26-32 RUE PAUL BARRUEL;;;
615BA;;PAUL BARRUEL;141;18/10/1932;Paul Barruel (rue ) n° 26/32;;75015;PARIS;Gaz;CHF0000544;42 RUE PAUL BARRUEL;CHAUDIERE;CHAUDIERE GAZ A CONDENSATION N°2;X 1;HOVAL;CHAUDIERE GAZ A CONDENSATION N°2 ULTRA-GAS 150;150 KW;;;15/06/2013;OUI;;;Chaudière      collective      haute      performance énergétique avec contrat  assurant  la  conduite de l’installation;12/10/2022;26-32 RUE PAUL BARRUEL;;;
615BA;;PAUL BARRUEL;141;18/10/1932;26/28/30/32 rue Paul Barruel;42/43/44 rue Paul Barruel;75015;PARIS;Gaz;CHF0000545;43 RUE PAUL BARRUEL;CHAUDIERE;CHAUDIERE GAZ A CONDENSATION N°1;X 1;GUILLOT;CHAUDIERE GAZ A CONDENSATION N°1 AZURINOX 100;100 KW;;;15/06/2013;OUI;;;Chaudière      collective      haute      performance énergétique avec contrat  assurant  la  conduite de l’installation;12/10/2022;26-32 RUE PAUL BARRUEL;;;
615BA;;PAUL BARRUEL;141;18/10/1932;26/28/30/32 rue Paul Barruel;42/43/44 rue Paul Barruel;75015;PARIS;Gaz;CHF0000545;43 RUE PAUL BARRUEL;CHAUDIERE;CHAUDIERE GAZ A CONDENSATION N°2;X 1;GUILLOT;CHAUDIERE GAZ A CONDENSATION N°2 AZURINOX 100;100 KW;;;15/06/2013;OUI;;;Chaudière      collective      haute      performance énergétique avec contrat  assurant  la  conduite de l’installation;12/10/2022;26-32 RUE PAUL BARRUEL;;;
615BA;;PAUL BARRUEL;141;18/10/1932;Paul Barruel (rue ) n° 26/32;;75015;PARIS;Gaz;CHF0000553;26/32 RUE PAUL BARRUEL;CHAUDIERE;CHAUDIERE 1;X 1;VIESSMANN;CHAUDIERE 1 VERTOMAT VSB 37;370;;;09/09/2011;OUI;;;Chaudière      collective      haute      performance énergétique avec contrat  assurant  la  conduite de l’installation;12/10/2022;26-32 RUE PAUL BARRUEL;;;
615BA;;PAUL BARRUEL;141;18/10/1932;Paul Barruel (rue ) n° 26/32;;75015;PARIS;Gaz;CHF0000553;26/32 RUE PAUL BARRUEL;CHAUDIERE;CHAUDIERE 2;X 1;VIESSMANN;CHAUDIERE 2 VERTOMAT VSB 37;370;;;09/09/2011;OUI;;;Chaudière      collective      haute      performance énergétique avec contrat  assurant  la  conduite de l’installation;12/10/2022;26-32 RUE PAUL BARRUEL;;;
